Plant Species Name,Insect Species Name,DBIF Source,Interaction Frequency
Chenopodium vulvaria,Lacanobia oleracea,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Chenopodium vulvaria,Pelurga comitata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Chenopodium vulvaria,Pelurga comitata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Chrysanthemum leucanthemum,Acanthococcus munroi,() Hemiptera: Coccoidea Slide Collection  ,1
Chrysanthemum leucanthemum,Acanthococcus munroi,"Williams, D.J.(1985) Bull. Br. Mus. nat. Hist., B. 51:4 347-393",1
Chrysanthemum leucanthemum,Aethes margaritana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Atrococcus cracens,"Williams, D.J.(1962) Bull. Br. Mus. nat. Hist., B. 12:1 1-79",1
Chrysanthemum leucanthemum,Bucculatrix nigricomella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Catoplatus fabricii,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Chrysanthemum leucanthemum,Chromatomyia horticola,"Robbins, J. (1984-04-02) Leaf miners  ",1
Chrysanthemum leucanthemum,Chromatomyia paraciliata,"Godfray, H.C.J.(1985) Entomologist's Gaz. 36:1 47-50",1
Chrysanthemum leucanthemum,Cnephasia communana,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Cnephasia conspersana,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Cnephasia longana,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Cnephasia pasiuana,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Contarinia chrysanthemi,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Contarinia chrysanthemi,"Bagnall, R.S. & Heslop Harrison, J.W.(1921) Entomologist's Rec. J. Var. 33 166-169",1
Chrysanthemum leucanthemum,Craspedolepta sonchi,"Hodkinson, I.D. & White, I.M.(1979) Handbk Ident. Br. Insects II:5A 1-98",1
Chrysanthemum leucanthemum,Dasineura chrysanthemi,"Barnes, H.F., Arnold, M.K. & Heath, G.W.(1962) Trans. Soc. Br. ent. 15:1 1-20",1
Chrysanthemum leucanthemum,Dichrorampha acuminatana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Dichrorampha acuminatana,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Dichrorampha aeratana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Dichrorampha alpinana,"Bland, K.P.(1983) Entomologist's Rec. J. Var. 95 183-184",1
Chrysanthemum leucanthemum,Dichrorampha alpinana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Dichrorampha consortana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Dichrorampha plumbana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Dichrorampha senectana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Diplapion stolidum,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Chrysanthemum leucanthemum,Eana incanana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Enoplops scapha,"Woodroffe, G.E.(1963) Entomologist's mon. Mag. 99 166-166",1
Chrysanthemum leucanthemum,Haplothrips leucanthemi,"Morison, G.D.(1949) Lond. Nat. (Suppl.) 28 76-131",1
Chrysanthemum leucanthemum,Haplothrips leucanthemi,"Mound, L.A. * et al.(1976) Handbk Ident. Br. Insects I:11 1-79",1
Chrysanthemum leucanthemum,Hellinsia lienigianus,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Homoeosoma nebulella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum leucanthemum,Liriomyza eupatorii,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Chrysanthemum leucanthemum,Longitarsus succineus,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Chrysanthemum leucanthemum,Longitarsus succineus,"Kevan, D.K.(1967) Entomologist's mon. Mag. 103 83-110",1
Chrysanthemum leucanthemum,Macrosiphoniella (Macrosiphoniella) subterranea,"Stroyan, H.L.G.(1955) Trans. r. ent. Soc. Lond. 106 283-340",1
Chrysanthemum leucanthemum,Melanagromyza eupatorii,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Chrysanthemum leucanthemum,Microplontus campestris,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Microplontus campestris,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Chrysanthemum leucanthemum,Orthocephalus coriaceus,"Woodroffe, G.E.(1959) Entomologist 92 6-13",1
Chrysanthemum leucanthemum,Oxyna nebulosa,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Chrysanthemum leucanthemum,Ozirhincus longicollis,"Barnes, H.F., Arnold, M.K. & Heath, G.W.(1962) Trans. Soc. Br. ent. 15:1 1-20",2
Chrysanthemum leucanthemum,Ozirhincus longicollis,() Diptera: Cecidomyiidae Slide Collection  ,2
Chrysanthemum leucanthemum,Phlogophora meticulosa,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Chrysanthemum leucanthemum,Phytomyza leucanthemi,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Chrysanthemum leucanthemum,Phytomyza syngenesiae,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Phytomyza syngenesiae,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Chrysanthemum leucanthemum,Rhopalomyia hypogaea,() Diptera: Cecidomyiidae Slide Collection  ,1
Chrysanthemum leucanthemum,Rhopalomyia hypogaea,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum leucanthemum,Tephritis leontodontis,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Chrysanthemum leucanthemum,Tephritis neesii,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Chrysanthemum leucanthemum,Tephritis neesii,"Barnes, H.F.(1953) Pl. Path. 2:1 52-53",1
Chrysanthemum parthenium,Chromatomyia horticola,"Robbins, J. (1984-04-02) Leaf miners  ",1
Chrysanthemum parthenium,Cucullia chamomillae,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Chrysanthemum parthenium,Cucullia chamomillae,"Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459",1
Chrysanthemum parthenium,Heliothis peltigera,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Chrysanthemum parthenium,Homoeosoma nimbella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Chrysanthemum parthenium,Ozirhincus longicollis,() Diptera: Cecidomyiidae Slide Collection  ,2
Chrysanthemum parthenium,Ozirhincus longicollis,"Barnes, H.F., Arnold, M.K. & Heath, G.W.(1962) Trans. Soc. Br. ent. 15:1 1-20",2
Chrysanthemum parthenium,Rhopalomyia chrysanthemi,"Buhr, H. (1964) Bestimmungstabellen der gallen (zoo-und phytocecidien) an pflanzen Mittel-und NordEuropas 1 1-761",1
Chrysanthemum segetum,Phlogophora meticulosa,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cicerbita macrophylla,Liriomyza strigata,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cichorium intybus,Chromatomyia horticola,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cichorium intybus,Delia floralis,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cichorium intybus,Heliothis viriplaca,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cichorium intybus,Liriomyza strigata,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cichorium intybus,Ophiomyia pinguis,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cichorium intybus,Ophiomyia pinguis,"Spencer, K.A. (1973) Agromyzidae (Diptera) of Economic Importance  1-418",1
Cicuta virosa,Eupithecia absinthiata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cicuta virosa,Eupithecia centaureata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cicuta virosa,Eupithecia centaureata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cicuta virosa,Globia algae,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cicuta virosa,Lixus (Eulixus) iridis,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Circaea lutetiana,Altica lythri,"Phillips, W.M.(1977) Ecol. Entomol. 2:3 205-216",1
Circaea lutetiana,Deilephila elpenor,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Circaea lutetiana,Ecliptopera silaceata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Circaea lutetiana,Metatropis rufescens,"Wheeler, A.G. & Schaefer, C.W.(1982) Ann. ent. Soc. Am. 75 498-506",1
Circaea lutetiana,Mompha langiella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Circaea lutetiana,Mompha terminella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Circaea lutetiana,Psylliodes chalcomera,"Walsh, G.B. & Dibb, J.R.(1954) Amat. Ent. 11 83-98",1
Circaea lutetiana,Tenthredo (Tenthredella) colon,"Benson, R.B.(1952) Handbk Ident. Br. Insects VI:2B 51-137",1
Cirsium arvense,Aceria anthocoptes,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Cirsium arvense,Cassida rubiginosa,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium arvense,Chromatomyia horticola,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium arvense,Coleophora follicularis,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium arvense,Coleophora paripennella,"Heal, N.F.(1982) Entomologist's Rec. J. Var. 94 59-59",1
Cirsium arvense,Coleophora peribenanderi,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium arvense,Dasineura cirsii,() Diptera: Cecidomyiidae Slide Collection  ,1
Cirsium arvense,Dasineura cirsii,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium arvense,Dasineura gibsoni,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium arvense,Larinus planus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium arvense,Lema cyanella,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium arvense,Lobesia abscisana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium arvense,Longitarsus luridus,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium arvense,Lygocoris (Lygocoris) pabulinus,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium arvense,Lygocoris spinolai,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium arvense,Macrolabis cirsii,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium arvense,Macrolabis cirsii,() Diptera: Cecidomyiidae Slide Collection  ,1
Cirsium arvense,Melanagromyza aeneoventris,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium arvense,Pegomya steini,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium arvense,Phytomyza affinis,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium arvense,Phytomyza autumnalis,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium arvense,Phytomyza autumnalis,"Bland, K.P.(1983) Entomologist's Rec. J. Var. 95 77-79",1
Cirsium arvense,Phytomyza cirsii,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium arvense,Rhinocyllus conicus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium arvense,Sitochroa verticalis,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium arvense,Sphaeroderma rubidum,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium arvense,Sphaeroderma testaceum,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium arvense,Tephritis cometa,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium arvense,Terellia ruficauda,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium arvense,Terellia ruficauda,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium arvense,Thrips vulgatissimus,"Mound, L.A. * et al.(1976) Handbk Ident. Br. Insects I:11 1-79",1
Cirsium arvense,Tingis (Tingis) ampliata,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium arvense,Urophora cardui,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium arvense,Urophora cardui,"Peschken, D.P. & Harris, P.(1975) Can. Ent. (Entomol.) 107 1101-1110",1
Cirsium arvense,Vanessa cardui,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cirsium arvense,Vanessa cardui,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cirsium arvense,Xyphosia miliaria,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium dissectum,Liriomyza strigata,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium dissectum,Phytomyza autumnalis,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium dissectum,Terellia ruficauda,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium eriophorum,Dasineura gibsoni,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium eriophorum,Myelois circumvoluta,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium eriophorum,Pegomya steini,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium eriophorum,Terellia longicauda,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium eriophorum,Xyphosia miliaria,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium heterophyllum,Tephritis conura,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium oleraceum,Anania perlucidalis,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium oleraceum,Urophora cardui,"Peschken, D.P. & Harris, P.(1975) Can. Ent. (Entomol.) 107 1101-1110",1
Cirsium palustre,Cheilosia albipila,"Stubbs, A.E. & Falk, S.J. (1983) British Hoverflies an illustrated identification guide  1-253",1
Cirsium palustre,Cheilosia albipila,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium palustre,Cheilosia albipila,"Rotheray, G.E.(1988) Jnl. nat. Hist. 22 17-25",1
Cirsium palustre,Cheilosia fraterna,"Rotheray, G.E.(1988) Jnl. nat. Hist. 22 17-25",1
Cirsium palustre,Cheilosia fraterna,"Stubbs, A.E.(1980) Entomologist's Rec. J. Var. 92 114-117",1
Cirsium palustre,Cheilosia fraterna,"Stubbs, A.E. & Falk, S.J. (1983) British Hoverflies an illustrated identification guide  1-253",1
Cirsium palustre,Cheilosia grossa,"Stubbs, A.E. & Falk, S.J. (1983) British Hoverflies an illustrated identification guide  1-253",1
Cirsium palustre,Cheilosia grossa,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium palustre,Cheilosia grossa,"Rotheray, G.E.(1988) Jnl. nat. Hist. 22 17-25",1
Cirsium palustre,Cheilosia proxima,"Rotheray, G.E.(1988) Jnl. nat. Hist. 22 17-25",1
Cirsium palustre,Dasineura gibsoni,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium palustre,Epiblema scutulana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium palustre,Gortyna flavago,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cirsium palustre,Gortyna flavago,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cirsium palustre,Haplothrips distinguendus,"Mound, L.A. * et al.(1976) Handbk Ident. Br. Insects I:11 1-79",1
Cirsium palustre,Haplothrips distinguendus,"Morison, G.D.(1949) Lond. Nat. (Suppl.) 28 76-131",1
Cirsium palustre,Larinus planus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium palustre,Liriomyza strigata,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium palustre,Melanagromyza aeneoventris,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium palustre,Pegomya steini,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium palustre,Phytomyza autumnalis,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium palustre,Phytomyza cirsii,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium palustre,Rhinocyllus conicus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium palustre,Rhopalus (Aeschyntelus) maculatus,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium palustre,Tephritis conura,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium palustre,Terellia ruficauda,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium palustre,Terellia ruficauda,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium palustre,Thrips tabaci,"Mound, L.A. * et al.(1976) Handbk Ident. Br. Insects I:11 1-79",1
Cirsium palustre,Tingis (Tingis) cardui,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium palustre,Vanessa cardui,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cirsium palustre,Xyphosia miliaria,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium tuberosum,Dasineura gibsoni,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium tuberosum,Terellia ruficauda,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium vulgare,Agonopterix propinquella,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium vulgare,Agonopterix subpropinquella,"Palmer, R.M. & Young, M.R.(1987) Entomologist's Rec. J. Var. 99 111-114",1
Cirsium vulgare,Cassida rubiginosa,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium vulgare,Cheilosia grossa,"Rotheray, G.E.(1988) Jnl. nat. Hist. 22 17-25",1
Cirsium vulgare,Cheilosia variabilis,"Stubbs, A.E. & Falk, S.J. (1983) British Hoverflies an illustrated identification guide  1-253",1
Cirsium vulgare,Dasineura cirsii,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium vulgare,Dasineura gibsoni,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium vulgare,Diachrysia chrysitis,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cirsium vulgare,Diachrysia chrysitis,"Eds. Heath, J. & Emmet, A.M. (1983) The Moths and Butterflies of Great Britain and Ireland 10 1-459",1
Cirsium vulgare,Epiblema scutulana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium vulgare,Eucosma cana,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium vulgare,Homoeosoma nebulella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium vulgare,Larinus planus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium vulgare,Macrolabis cirsii,"Nijveldt, W. (1969) Gall midges of economic importance. Miscellaneous. 8 1-221",1
Cirsium vulgare,Melanagromyza aeneoventris,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium vulgare,Myelois circumvoluta,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium vulgare,Phycitodes binaevella,"In ed. Emmet, A.M. (1979) A field guide to the smaller British Lepidoptera  1-271",1
Cirsium vulgare,Phytomyza affinis,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium vulgare,Phytomyza autumnalis,"Spencer, K.A.(1972) Handbk Ident. Br. Insects X:5(G) 1-136",1
Cirsium vulgare,Rhinocyllus conicus,"Morris, M.G.(1983) Entomologist's mon. Mag. 119 42-42",1
Cirsium vulgare,Sphaeroderma rubidum,"Robbins, J. (1984-04-02) Leaf miners  ",1
Cirsium vulgare,Sphaeroderma testaceum,"Cox, M.L. (1976) The taxonomy and biology of the British Chrysomelidae 2 141-375",1
Cirsium vulgare,Tephritis conura,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium vulgare,Terellia serratulae,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium vulgare,Terellia serratulae,"Chandler, P.J. & Speight, M.C.D.(1982) Bull. Ir. Biogeogr. Soc. 6 1-17",1
Cirsium vulgare,Tingis (Tingis) cardui,"Southwood, T.R.E. & Leston, D. (1959) Land and water bugs of the British Isles  1-436",1
Cirsium vulgare,Urophora solstitialis,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium vulgare,Urophora stylata,"Uffen, R. & Chandler, P. in eds. Stubbs, A. & Chandler, P. (1978) A Dipterist's Handbook 15 213-236",1
Cirsium vulgare,Vanessa cardui,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cirsium vulgare,Vanessa cardui,"Warren, M.S.(1986) Entomologist's Gaz. 37:2 65-67",1
Cirsium vulgare,Vanessa cardui,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cladium mariscus,Helotropha leucostigma,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Cladium mariscus,Helotropha leucostigma,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cladium mariscus,Laelia coenosa,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Cladium mariscus,Laelia coenosa,"Heath, J. & Emmet, A.M. (eds) (1979) The Moths and Butterflies of Great Britain and Ireland 9 1-288",1
Cladium mariscus,Nascia cilialis,"Goater, B. (1986) British Pyralid Moths  1-175",1
Clematis vitalba,Aceria vitalbae,"Bagnall, R.S. & Harrison, J.W.H.(1928) Ann. Mag. nat. Hist. 2 427-445",1
Clematis vitalba,Aceria vitalbae,"Niblett, M.(1959) Lond. Nat. 38 51-54",1
Clematis vitalba,Angerona prunaria,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Clematis vitalba,Angerona prunaria,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Clematis vitalba,Chloroclystis v-ata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Clematis vitalba,Chloroclystis v-ata,Brit. Ent. and Nat. Hist. Soc. (1981) An identification guide to the British pugs. Lepidoptera Geometridae  1-42,1
Clematis vitalba,Chloroclystis v-ata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Clematis vitalba,Eupithecia absinthiata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Clematis vitalba,Eupithecia centaureata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Clematis vitalba,Eupithecia centaureata,"Allan, P.B.M. (1949) Larval foodplants  1-126",1
Clematis vitalba,Eupithecia haworthiata,Brit. Ent. and Nat. Hist. Soc. (1981) An identification guide to the British pugs. Lepidoptera Geometridae  1-42,1
Clematis vitalba,Eupithecia haworthiata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
Clematis vitalba,Gymnoscelis rufifasciata,"Noble, K. (1975) Working draft of ""The Natural foodplants of Macrolepidoptera larvae in Britain, Part II."" Field Studies Council  ",1
