"SPECIES","YEAR","NSITES","TR0OBS","TRMOBS","TR0SE","TIME_PERIOD","COUNTRY","SITES"
13,2018,62,1.97,2,0.0733,"1976-2021","England","All"
13,2019,54,1.87,1.9,0.0734,"1976-2021","England","All"
13,2020,45,1.94,1.97,0.0734,"1976-2021","England","All"
13,2021,49,1.88,1.91,0.0734,"1976-2021","England","All"
14,1978,7,2,2.21,0.0506,"1976-2021","England","All"
14,1979,10,1.62,1.83,0.057,"1976-2021","England","All"
14,1980,13,2.1,2.31,0.0454,"1976-2021","England","All"
14,1981,14,1.88,2.09,0.0495,"1976-2021","England","All"
14,1982,18,2.07,2.28,0.0422,"1976-2021","England","All"
14,1983,20,1.7,1.9,0.0464,"1976-2021","England","All"
14,1984,22,1.9,2.1,0.0429,"1976-2021","England","All"
14,1985,26,2.04,2.24,0.0417,"1976-2021","England","All"
14,1986,30,1.98,2.18,0.0414,"1976-2021","England","All"
14,1987,41,2.24,2.44,0.0395,"1976-2021","England","All"
14,1988,46,1.75,1.96,0.0417,"1976-2021","England","All"
14,1989,58,2,2.21,0.0395,"1976-2021","England","All"
14,1990,63,2.18,2.39,0.0387,"1976-2021","England","All"
14,1991,75,2.12,2.32,0.0389,"1976-2021","England","All"
14,1992,78,2,2.21,0.0389,"1976-2021","England","All"
14,1993,78,2.04,2.24,0.0389,"1976-2021","England","All"
14,1994,81,1.87,2.08,0.0395,"1976-2021","England","All"
14,1995,91,1.97,2.18,0.0388,"1976-2021","England","All"
14,1996,100,1.98,2.19,0.0386,"1976-2021","England","All"
14,1997,100,2.22,2.43,0.0381,"1976-2021","England","All"
14,1998,107,1.96,2.16,0.0386,"1976-2021","England","All"
14,1999,101,1.63,1.83,0.0398,"1976-2021","England","All"
14,2000,105,1.56,1.77,0.0409,"1976-2021","England","All"
14,2001,95,1.66,1.87,0.04,"1976-2021","England","All"
14,2002,130,1.81,2.02,0.0387,"1976-2021","England","All"
14,2003,130,1.9,2.1,0.0386,"1976-2021","England","All"
14,2004,117,1.85,2.05,0.0387,"1976-2021","England","All"
14,2005,111,1.72,1.93,0.0393,"1976-2021","England","All"
14,2006,111,1.6,1.81,0.04,"1976-2021","England","All"
14,2007,115,1.66,1.86,0.04,"1976-2021","England","All"
14,2008,113,1.42,1.62,0.0412,"1976-2021","England","All"
14,2009,116,1.59,1.8,0.0411,"1976-2021","England","All"
14,2010,123,1.69,1.9,0.0392,"1976-2021","England","All"
14,2011,119,1.98,2.19,0.0384,"1976-2021","England","All"
14,2012,116,1.67,1.88,0.0393,"1976-2021","England","All"
14,2013,118,1.4,1.61,0.0403,"1976-2021","England","All"
14,2014,152,1.51,1.71,0.039,"1976-2021","England","All"
14,2015,167,1.51,1.71,0.039,"1976-2021","England","All"
14,2016,168,1.45,1.65,0.0391,"1976-2021","England","All"
14,2017,181,1.49,1.7,0.0389,"1976-2021","England","All"
14,2018,179,1.54,1.74,0.0388,"1976-2021","England","All"
14,2019,161,1.57,1.77,0.0389,"1976-2021","England","All"
14,2020,115,1.59,1.79,0.0399,"1976-2021","England","All"
14,2021,131,1.5,1.71,0.0398,"1976-2021","England","All"
17,1976,21,2,2.02,0.0686,"1976-2021","England","All"
17,1977,27,1.39,1.42,0.0988,"1976-2021","England","All"
17,1978,29,1.56,1.59,0.0841,"1976-2021","England","All"
17,1979,39,1.74,1.76,0.0642,"1976-2021","England","All"
17,1980,44,1.63,1.66,0.0655,"1976-2021","England","All"
17,1981,46,1.7,1.72,0.0629,"1976-2021","England","All"
17,1982,49,1.83,1.86,0.0617,"1976-2021","England","All"
17,1983,55,1.73,1.75,0.0615,"1976-2021","England","All"
